id	pop	species	morph	date	locality	lat	long	sex	embryos	loan
MSB147123	BC	Myodes rutilus	rutilus	17-Aug-06	"Cassiar Highway (Hwy 37), Kinaskan Lake"	57.52268333	-130.1899333	female	NA	MSB_1
MSB147137	BC	Myodes rutilus	rutilus	17-Aug-06	"Cassiar Highway (Hwy 37), 1km West of Willow Creek Crossing"	57.44515	-130.2323833	female	NA	MSB_1
MSB147233	BC	Myodes gapperi	gapperi	15-Aug-06	"Cassiar Highway (Hwy 37), Junction with Gamma Creek"	56.93136667	-130.1220833	unknown	NA	MSB_1
MSB147459	BC	Myodes gapperi	gapperi	21-Aug-06	"Cassiar Highway (Hwy 37), Slate Creek Crossing"	57.15511667	-130.2449167	male	NA	MSB_1
MSB147516	BC	Myodes rutilus	rutilus	17-Aug-06	"Cassiar Highway (Hwy 37), Todagin River crossing"	57.61813333	-130.0761	female	NA	MSB_1
MSB147576	BC	Myodes gapperi	gapperi	14-Aug-06	"Cassiar Highway (Hwy 37), 5km N of Bell II Crossing"	56.74008333	-129.8736833	male	NA	MSB_1
MSB147601	BC	Myodes gapperi	gapperi	14-Aug-06	"Cassiar Highway (Hwy 37), Nigunsaw Summit"	56.87536667	-130.0354667	female	NA	MSB_1
MSB147647	BC	Myodes gapperi	gapperi	20-Aug-06	"Cassiar Highway (Hwy 37), Thomas Creek Ccrossing"	57.13141667	-130.2799	female	NA	MSB_1
MSB147685	BC	Myodes gapperi	gapperi	20-Aug-06	"Cassiar Highway (Hwy 37), Devil Creek Crossing"	57.08133333	-130.2644333	female	NA	MSB_1
MSB147723	BC	Myodes gapperi	gapperi	20-Aug-06	"Cassiar Highway (Hwy 37), Thomas Creek Ccrossing"	57.13141667	-130.2799	female	NA	MSB_1
MSB149263	SEAK	Myodes gapperi	gapperi	21-Jul-06	"Wrangell District, Stikine River and Andrew's Creek junction, Mount Rynda Cabin"	56.66366667	-132.2445833	male	NA	MSB_1
MSB149264	SEAK	Myodes gapperi	gapperi	21-Jul-06	"Wrangell District, Stikine River and Andrew's Creek junction, Mount Rynda Cabin"	56.66366667	-132.2445833	male	NA	MSB_1
MSB149265	SEAK	Myodes gapperi	gapperi	21-Jul-06	"Wrangell District, Stikine River and Andrew's Creek junction, Mount Rynda Cabin"	56.66366667	-132.2445833	female	NA	MSB_1
MSB157962	BC	Myodes gapperi	gapperi	7-Jun-03	"Stewart-Cassiar Highway, British Columbia Highway 37, Dease Lake Highway, 21.6 km N Meziadin Junction"	56.27969444	-129.3473889	female	NA	MSB_1
MSB158085	BC	Myodes rutilus	rutilus	16-Jun-03	about 2.2 road kilometers south of Stikine River along Stewart-Cassiar Highway	58.03180556	-129.9313611	female	NA	MSB_1
MSB158231	BC	Myodes gapperi	gapperi	13-Jun-03	S side Dettaki Creek	56.54133333	-129.5415833	male	NA	MSB_1
MSB158253	BC	Myodes gapperi	gapperi	14-Jun-03	S side Glacier creek	56.59658333	-129.6482778	male	NA	MSB_1
MSB158381	BC	Myodes gapperi	gapperi	8-Jun-03	"Stewart-Cassiar Highway, British Columbia Highway 37, Dease Lake Highway, 36.1 km N Meziadin Junction"	56.365389	-129.274667	male	NA	MSB_1
MSB198875	BC	Myodes rutilus	rutilus	22-Jun-03	8 km. N Iskut	57.89005556	-130.0444444	male	NA	MSB_1
MSB199211	BC	Myodes gapperi	gapperi	17-Aug-03	No specific locality recorded	56.31941667	-129.346	female	NA	MSB_1
MSB199217	BC	Myodes gapperi	gapperi	17-Aug-03	Spruce Creek	56.35063889	-129.2777778	female	NA	MSB_1
MSB199275	BC	Myodes gapperi	gapperi	18-Aug-03	No specific locality recorded	56.29616667	-129.3521111	male	NA	MSB_1
UAM20640	SEAK	Myodes gapperi	gapperi	11-Jul-92	Anita Bay area	56.18333333	-132.4833333	female	NA	UAM_1
UAM20694	SEAK	Myodes gapperi stikinensis	gapperi	14-Jul-92	"Stikine River, Figure Eight Lake"	56.7	-132.25	male	NA	UAM_1
UAM20711	SEAK	Myodes gapperi stikinensis	gapperi	14-Jul-92	"Stikine River, Figure Eight Lake"	56.7	-132.25	male	NA	UAM_1
UAM20722	SEAK	Myodes gapperi stikinensis	gapperi	15-Jul-92	"Stikine River, Figure Eight Lake"	56.7	-132.25	female	NA	UAM_1
UAM20794	SEAK	Myodes gapperi stikinensis	gapperi	25-Jul-92	Stikine River	56.63333333	-132.4166667	male	NA	UAM_1
UAM20798	SEAK	Myodes gapperi stikinensis	gapperi	25-Jul-92	Stikine River	56.63333333	-132.4166667	female	NA	UAM_1
